   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.50000e+15 2.14323e+00 2.50642e+00 1.24396e+01 9.90050e-01 1.20231e+00 1.19088e-01 3.01400e+00 2.67546e+00 1.47287e+00 1.37756e+01 6.36298e-01 1.76338e+00 -2.23733e-01 7.06953e-01 2.39346e-01 6.50879e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
1.5623e-02 7.8125e-01 -1.6083e+00 -1.8677e-01 7.1075e-01 6.9974e-01 4.1206e+35
1.5623e-02 7.9688e-01 -1.6083e+00 -1.8677e-01 7.1074e-01 6.9973e-01 4.1205e+35
1.5623e-02 8.1250e-01 -1.6083e+00 -1.8677e-01 7.1074e-01 6.9973e-01 4.1205e+35
1.5623e-02 8.2812e-01 -1.6083e+00 -1.8677e-01 7.1074e-01 6.9973e-01 4.1204e+35
1.5623e-02 8.4375e-01 -1.6083e+00 -1.8677e-01 7.1074e-01 6.9973e-01 4.1203e+35
1.5623e-02 8.5938e-01 -1.6082e+00 -1.8676e-01 7.1074e-01 6.9973e-01 4.1202e+35
1.5623e-02 8.7500e-01 -1.6082e+00 -1.8676e-01 7.1073e-01 6.9972e-01 4.1201e+35
1.5623e-02 8.9062e-01 -1.6082e+00 -1.8676e-01 7.1073e-01 6.9972e-01 4.1200e+35
1.5623e-02 9.0625e-01 -1.6082e+00 -1.8676e-01 7.1073e-01 6.9972e-01 4.1199e+35
1.5623e-02 9.2188e-01 -1.6082e+00 -1.8676e-01 7.1073e-01 6.9972e-01 4.1198e+35
1.5623e-02 9.3750e-01 -1.6082e+00 -1.8676e-01 7.1072e-01 6.9971e-01 4.1197e+35
1.5623e-02 9.5312e-01 -1.6082e+00 -1.8675e-01 7.1072e-01 6.9971e-01 4.1196e+35
1.5623e-02 9.6875e-01 -1.6082e+00 -1.8675e-01 7.1071e-01 6.9971e-01 4.1195e+35
1.5623e-02 9.8438e-01 -1.6082e+00 -1.8675e-01 7.1071e-01 6.9970e-01 4.1193e+35
1.5623e-02 1.0000e+00 -1.6081e+00 -1.8674e-01 7.1070e-01 6.9969e-01 4.1190e+35
2.3435e-02 0.0000e+00 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1179e+35
2.3435e-02 1.5625e-02 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1179e+35
2.3435e-02 3.1250e-02 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1179e+35
2.3435e-02 4.6875e-02 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1179e+35
2.3435e-02 6.2500e-02 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1179e+35
2.3435e-02 7.8125e-02 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1179e+35
2.3435e-02 9.3750e-02 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1179e+35
2.3435e-02 1.0938e-01 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1178e+35
2.3435e-02 1.2500e-01 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1178e+35
2.3435e-02 1.4062e-01 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1178e+35
2.3435e-02 1.5625e-01 -1.6080e+00 -1.8666e-01 7.1061e-01 6.9967e-01 4.1177e+35
2.3435e-02 1.7188e-01 -1.6080e+00 -1.8666e-01 7.1060e-01 6.9967e-01 4.1177e+35
2.3435e-02 1.8750e-01 -1.6080e+00 -1.8666e-01 7.1060e-01 6.9967e-01 4.1177e+35
2.3435e-02 2.0312e-01 -1.6080e+00 -1.8666e-01 7.1060e-01 6.9966e-01 4.1176e+35
